nombre_modulacion,modulacion,M,EbN0_dB,Ps_simulada,Pe_simulada,Ps_teorica,Pe_teorica
2-FSK,M-FSK,2,0.0,0.15854407,0.15854407,0.15865525393145707,0.15865525393145707
2-FSK,M-FSK,2,1.0,0.13089867,0.13089867,0.13092729675552447,0.13092729675552447
2-FSK,M-FSK,2,2.0,0.1040968,0.1040968,0.10402863708538863,0.10402863708538863
2-FSK,M-FSK,2,3.0,0.07908053,0.07908053,0.07889587198172442,0.07889587198172442
2-FSK,M-FSK,2,4.0,0.05659807,0.05659807,0.05649530174936167,0.05649530174936167
2-FSK,M-FSK,2,5.0,0.03774364,0.03774364,0.03767898814746341,0.03767898814746341
2-FSK,M-FSK,2,6.0,0.02304493,0.02304493,0.023007138877866033,0.023007138877866033
2-FSK,M-FSK,2,7.0,0.01264561,0.01264561,0.012587033122144623,0.012587033122144623
2-FSK,M-FSK,2,8.0,0.00598441,0.00598441,0.0060043864001635685,0.0060043864001635685
2-FSK,M-FSK,2,9.0,0.00243474,0.00243474,0.002413310419633864,0.002413310419633864
2-FSK,M-FSK,2,10.0,0.00079128,0.00079128,0.0007827011290012744,0.0007827011290012744
4-FSK,M-FSK,4,0.0,0.17764004,0.11842098,0.23594881057542766,0.1572992070502851
4-FSK,M-FSK,4,1.0,0.13216421,0.08817393,0.1688458559296244,0.11256390395308292
4-FSK,M-FSK,4,2.0,0.0914941,0.06102586,0.11251838507677794,0.07501225671785196
4-FSK,M-FSK,4,3.0,0.05809396,0.03876136,0.06863522268325602,0.045756815122170676
4-FSK,M-FSK,4,4.0,0.03296014,0.02199972,0.037502454122212696,0.02500163608147513
4-FSK,M-FSK,4,5.0,0.01619477,0.01082422,0.017861601443335984,0.011907734295557323
4-FSK,M-FSK,4,6.0,0.00665017,0.00443696,0.007164872342798421,0.004776581561865614
4-FSK,M-FSK,4,7.0,0.00215487,0.00143754,0.0023180244461353332,0.001545349630756889
4-FSK,M-FSK,4,8.0,0.00053058,0.00035637,0.0005727233222279795,0.0003818155481519863
4-FSK,M-FSK,4,9.0,9.702e-05,6.378e-05,0.00010088168525885274,6.725445683923516e-05
4-FSK,M-FSK,4,10.0,1.086e-05,6.95e-06,1.1616324646566146e-05,7.744216431044098e-06
8-FSK,M-FSK,8,0.0,0.17531226,0.1002525,0.29142580832242654,0.16652903332710087
8-FSK,M-FSK,8,1.0,0.11863399,0.06783955,0.18189043611771752,0.10393739206726715
8-FSK,M-FSK,8,2.0,0.07227038,0.04133164,0.10226556345070018,0.05843746482897153
8-FSK,M-FSK,8,3.0,0.03836528,0.02194578,0.05047562419433406,0.02884321382533375
8-FSK,M-FSK,8,4.0,0.0172225,0.00985127,0.021171359346377528,0.012097919626501445
8-FSK,M-FSK,8,5.0,0.00626564,0.00357748,0.007243311209149147,0.0041390349766566555
8-FSK,M-FSK,8,6.0,0.00173319,0.00099279,0.0019196362347547414,0.0010969349912884237
8-FSK,M-FSK,8,7.0,0.0003445,0.00019693,0.00036925413363895294,0.00021100236207940168
8-FSK,M-FSK,8,8.0,4.478e-05,2.629e-05,4.749303217250171e-05,2.7138875527143833e-05
8-FSK,M-FSK,8,9.0,5.09e-06,2.37e-06,3.683327012408996e-06,2.1047582928051405e-06
8-FSK,M-FSK,8,10.0,0.0,0.0,1.5121620702396278e-07,8.640926115655016e-08
16-FSK,M-FSK,16,0.0,0.16899444,0.09013882,0.34125197922268824,0.18200105558543372
16-FSK,M-FSK,16,1.0,0.10454036,0.05577523,0.1862252003116513,0.09932010683288069
16-FSK,M-FSK,16,2.0,0.05632243,0.03005436,0.08855498802982897,0.04722932694924212
16-FSK,M-FSK,16,3.0,0.02528715,0.01347489,0.03545215276640971,0.018907814808751845
16-FSK,M-FSK,16,4.0,0.00902861,0.00478536,0.011441328256428109,0.006102041736761658
16-FSK,M-FSK,16,5.0,0.00241473,0.00127487,0.002818082859121251,0.0015029775248646673
16-FSK,M-FSK,16,6.0,0.00042745,0.00022678,0.0004944547648775283,0.0002637092079346817
16-FSK,M-FSK,16,7.0,5.631e-05,2.968e-05,5.6656982856070484e-05,3.0217057523237593e-05
16-FSK,M-FSK,16,8.0,3.39e-06,1.36e-06,3.799961584033077e-06,2.0266461781509745e-06
16-FSK,M-FSK,16,9.0,0.0,0.0,1.299550819547593e-07,6.930937704253829e-08
16-FSK,M-FSK,16,10.0,0.0,0.0,1.904721442103145e-09,1.015851435788344e-09
4-QAM,M-QAM,4,0.0,0.15104273,0.07864783,0.1511134469156229,0.07864960352514255
4-QAM,M-QAM,4,1.0,0.10939288,0.05629953,0.10939624583479335,0.05628195197654146
4-QAM,M-QAM,4,2.0,0.07370557,0.03756282,0.07360554705337574,0.03750612835892598
4-QAM,M-QAM,4,3.0,0.04527974,0.02289787,0.045233393589639626,0.022878407561085338
4-QAM,M-QAM,4,4.0,0.02485869,0.01250008,0.024845365629787453,0.012500818040737565
4-QAM,M-QAM,4,5.0,0.0118277,0.00592996,0.011872285761543977,0.0059538671477786615
4-QAM,M-QAM,4,6.0,0.00471005,0.00235774,0.004770877629011405,0.002388290780932807
4-QAM,M-QAM,4,7.0,0.00150793,0.00075465,0.001544752604386579,0.0007726748153784444
4-QAM,M-QAM,4,8.0,0.00036706,0.00018353,0.00038177910237391366,0.00019090777407599314
4-QAM,M-QAM,4,9.0,6.751e-05,3.375e-05,6.725332604873291e-05,3.362722841961758e-05
4-QAM,M-QAM,4,10.0,7.46e-06,3.73e-06,7.74420143778709e-06,3.872108215522049e-06
16-QAM,M-QAM,16,0.0,0.48882297,0.14441138,0.4791780167757098,0.13916001357101163
16-QAM,M-QAM,16,1.0,0.42610717,0.12193316,0.41736040510747985,0.11834583884997399
16-QAM,M-QAM,16,2.0,0.35926211,0.10005116,0.3521661005621841,0.09755935237670887
16-QAM,M-QAM,16,3.0,0.29196924,0.07935447,0.2856891392121381,0.07741543426555972
16-QAM,M-QAM,16,4.0,0.22575314,0.06003951,0.22072933547615337,0.05861845741925088
16-QAM,M-QAM,16,5.0,0.16442823,0.04294677,0.1605493524617303,0.04189230318126344
16-QAM,M-QAM,16,6.0,0.11099343,0.02857136,0.10837798641478547,0.027871306319660706
16-QAM,M-QAM,16,7.0,0.06830923,0.0173811,0.06671545535007706,0.016966733896638605
16-QAM,M-QAM,16,8.0,0.03742593,0.00944028,0.03664681110244028,0.009247213737517433
16-QAM,M-QAM,16,9.0,0.01777021,0.00445816,0.017484244145529626,0.004390336087342225
16-QAM,M-QAM,16,10.0,0.00716548,0.00179358,0.0070042942940099495,0.0017541506178927247
