Caso,Modulación,M,Etiquetado,EbN0_dB,N0,AWGN,Atenuación,Atenuación aplicada,Codificación canal,Bits fuente,Bits modulador,Símbolos TX,Es teórica,Eb teórica,Es estimada,Eb estimada,Errores símbolo,Pe símbolo,Errores bit,Pe bit,Decodificación
fsk_M2_binario_sin_codigo_EbN0_0_dB,M-FSK,2,binario,0,1.0,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,934694,0.15854407,934694,0.15854407,Con errores
fsk_M2_binario_sin_codigo_EbN0_1_dB,M-FSK,2,binario,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,771711,0.13089867,771711,0.13089867,Con errores
fsk_M2_binario_sin_codigo_EbN0_2_dB,M-FSK,2,binario,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,613701,0.1040968,613701,0.1040968,Con errores
fsk_M2_binario_sin_codigo_EbN0_3_dB,M-FSK,2,binario,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,466218,0.07908053,466218,0.07908053,Con errores
fsk_M2_binario_sin_codigo_EbN0_4_dB,M-FSK,2,binario,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,333673,0.05659807,333673,0.05659807,Con errores
fsk_M2_binario_sin_codigo_EbN0_5_dB,M-FSK,2,binario,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,222517,0.03774364,222517,0.03774364,Con errores
fsk_M2_binario_sin_codigo_EbN0_6_dB,M-FSK,2,binario,6,0.251188643150958,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,135861,0.02304493,135861,0.02304493,Con errores
fsk_M2_binario_sin_codigo_EbN0_7_dB,M-FSK,2,binario,7,0.199526231496888,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,74552,0.01264561,74552,0.01264561,Con errores
fsk_M2_binario_sin_codigo_EbN0_8_dB,M-FSK,2,binario,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,35281,0.00598441,35281,0.00598441,Con errores
fsk_M2_binario_sin_codigo_EbN0_9_dB,M-FSK,2,binario,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,14354,0.00243474,14354,0.00243474,Con errores
fsk_M2_binario_sin_codigo_EbN0_10_dB,M-FSK,2,binario,10,0.1,True,False,1.0,False,5895484,5895484,5895484,1.0,1.0,1.0,1.0,4665,0.00079128,4665,0.00079128,Con errores
fsk_M4_binario_sin_codigo_EbN0_0_dB,M-FSK,4,binario,0,1.0,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,523637,0.17764004,698149,0.11842098,Con errores
fsk_M4_binario_sin_codigo_EbN0_1_dB,M-FSK,4,binario,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,389586,0.13216421,519828,0.08817393,Con errores
fsk_M4_binario_sin_codigo_EbN0_2_dB,M-FSK,4,binario,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,269701,0.0914941,359777,0.06102586,Con errores
fsk_M4_binario_sin_codigo_EbN0_3_dB,M-FSK,4,binario,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,171246,0.05809396,228517,0.03876136,Con errores
fsk_M4_binario_sin_codigo_EbN0_4_dB,M-FSK,4,binario,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,97158,0.03296014,129699,0.02199972,Con errores
fsk_M4_binario_sin_codigo_EbN0_5_dB,M-FSK,4,binario,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,47738,0.01619477,63814,0.01082422,Con errores
fsk_M4_binario_sin_codigo_EbN0_6_dB,M-FSK,4,binario,6,0.251188643150958,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,19603,0.00665017,26158,0.00443696,Con errores
fsk_M4_binario_sin_codigo_EbN0_7_dB,M-FSK,4,binario,7,0.199526231496888,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,6352,0.00215487,8475,0.00143754,Con errores
fsk_M4_binario_sin_codigo_EbN0_8_dB,M-FSK,4,binario,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,1564,0.00053058,2101,0.00035637,Con errores
fsk_M4_binario_sin_codigo_EbN0_9_dB,M-FSK,4,binario,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,286,9.702e-05,376,6.378e-05,Con errores
fsk_M4_binario_sin_codigo_EbN0_10_dB,M-FSK,4,binario,10,0.1,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,32,1.086e-05,41,6.95e-06,Con errores
fsk_M8_binario_sin_codigo_EbN0_0_dB,M-FSK,8,binario,0,1.0,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,344517,0.17531226,591037,0.1002525,Con errores
fsk_M8_binario_sin_codigo_EbN0_1_dB,M-FSK,8,binario,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,233135,0.11863399,399947,0.06783955,Con errores
fsk_M8_binario_sin_codigo_EbN0_2_dB,M-FSK,8,binario,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,142023,0.07227038,243670,0.04133164,Con errores
fsk_M8_binario_sin_codigo_EbN0_3_dB,M-FSK,8,binario,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,75394,0.03836528,129381,0.02194578,Con errores
fsk_M8_binario_sin_codigo_EbN0_4_dB,M-FSK,8,binario,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,33845,0.0172225,58078,0.00985127,Con errores
fsk_M8_binario_sin_codigo_EbN0_5_dB,M-FSK,8,binario,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,12313,0.00626564,21091,0.00357748,Con errores
fsk_M8_binario_sin_codigo_EbN0_6_dB,M-FSK,8,binario,6,0.251188643150958,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,3406,0.00173319,5853,0.00099279,Con errores
fsk_M8_binario_sin_codigo_EbN0_7_dB,M-FSK,8,binario,7,0.199526231496888,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,677,0.0003445,1161,0.00019693,Con errores
fsk_M8_binario_sin_codigo_EbN0_8_dB,M-FSK,8,binario,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,88,4.478e-05,155,2.629e-05,Con errores
fsk_M8_binario_sin_codigo_EbN0_9_dB,M-FSK,8,binario,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,10,5.09e-06,14,2.37e-06,Con errores
fsk_M8_binario_sin_codigo_EbN0_10_dB,M-FSK,8,binario,10,0.1,True,False,1.0,False,5895484,5895484,1965162,3.0,1.0,3.0,1.0,0,0.0,0,0.0,OK
fsk_M16_binario_sin_codigo_EbN0_0_dB,M-FSK,16,binario,0,1.0,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,249076,0.16899444,531412,0.09013882,Con errores
fsk_M16_binario_sin_codigo_EbN0_1_dB,M-FSK,16,binario,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,154079,0.10454036,328822,0.05577523,Con errores
fsk_M16_binario_sin_codigo_EbN0_2_dB,M-FSK,16,binario,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,83012,0.05632243,177185,0.03005436,Con errores
fsk_M16_binario_sin_codigo_EbN0_3_dB,M-FSK,16,binario,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,37270,0.02528715,79441,0.01347489,Con errores
fsk_M16_binario_sin_codigo_EbN0_4_dB,M-FSK,16,binario,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,13307,0.00902861,28212,0.00478536,Con errores
fsk_M16_binario_sin_codigo_EbN0_5_dB,M-FSK,16,binario,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,3559,0.00241473,7516,0.00127487,Con errores
fsk_M16_binario_sin_codigo_EbN0_6_dB,M-FSK,16,binario,6,0.251188643150958,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,630,0.00042745,1337,0.00022678,Con errores
fsk_M16_binario_sin_codigo_EbN0_7_dB,M-FSK,16,binario,7,0.199526231496888,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,83,5.631e-05,175,2.968e-05,Con errores
fsk_M16_binario_sin_codigo_EbN0_8_dB,M-FSK,16,binario,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,5,3.39e-06,8,1.36e-06,Con errores
fsk_M16_binario_sin_codigo_EbN0_9_dB,M-FSK,16,binario,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,0,0.0,0,0.0,OK
fsk_M16_binario_sin_codigo_EbN0_10_dB,M-FSK,16,binario,10,0.1,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,4.0,1.0,0,0.0,0,0.0,OK
qam_M4_gray_sin_codigo_EbN0_0_dB,M-QAM,4,gray,0,1.0,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,445235,0.15104273,463667,0.07864783,Con errores
qam_M4_gray_sin_codigo_EbN0_1_dB,M-QAM,4,gray,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,322462,0.10939288,331913,0.05629953,Con errores
qam_M4_gray_sin_codigo_EbN0_2_dB,M-QAM,4,gray,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,217265,0.07370557,221451,0.03756282,Con errores
qam_M4_gray_sin_codigo_EbN0_3_dB,M-QAM,4,gray,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,133473,0.04527974,134994,0.02289787,Con errores
qam_M4_gray_sin_codigo_EbN0_4_dB,M-QAM,4,gray,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,73277,0.02485869,73694,0.01250008,Con errores
qam_M4_gray_sin_codigo_EbN0_5_dB,M-QAM,4,gray,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,34865,0.0118277,34960,0.00592996,Con errores
qam_M4_gray_sin_codigo_EbN0_6_dB,M-QAM,4,gray,6,0.251188643150958,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,13884,0.00471005,13900,0.00235774,Con errores
qam_M4_gray_sin_codigo_EbN0_7_dB,M-QAM,4,gray,7,0.199526231496888,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,4445,0.00150793,4449,0.00075465,Con errores
qam_M4_gray_sin_codigo_EbN0_8_dB,M-QAM,4,gray,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,1082,0.00036706,1082,0.00018353,Con errores
qam_M4_gray_sin_codigo_EbN0_9_dB,M-QAM,4,gray,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,199,6.751e-05,199,3.375e-05,Con errores
qam_M4_gray_sin_codigo_EbN0_10_dB,M-QAM,4,gray,10,0.1,True,False,1.0,False,5895484,5895484,2947742,2.0,1.0,2.0,1.0,22,7.46e-06,22,3.73e-06,Con errores
qam_M16_gray_sin_codigo_EbN0_0_dB,M-QAM,16,gray,0,1.0,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,720462,0.48882297,851375,0.14441138,Con errores
qam_M16_gray_sin_codigo_EbN0_1_dB,M-QAM,16,gray,1,0.7943282347242815,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,628027,0.42610717,718855,0.12193316,Con errores
qam_M16_gray_sin_codigo_EbN0_2_dB,M-QAM,16,gray,2,0.6309573444801932,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,529506,0.35926211,589850,0.10005116,Con errores
qam_M16_gray_sin_codigo_EbN0_3_dB,M-QAM,16,gray,3,0.5011872336272724,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,430325,0.29196924,467833,0.07935447,Con errores
qam_M16_gray_sin_codigo_EbN0_4_dB,M-QAM,16,gray,4,0.39810717055349726,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,332731,0.22575314,353962,0.06003951,Con errores
qam_M16_gray_sin_codigo_EbN0_5_dB,M-QAM,16,gray,5,0.31622776601683794,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,242346,0.16442823,253192,0.04294677,Con errores
qam_M16_gray_sin_codigo_EbN0_6_dB,M-QAM,16,gray,6,0.251188643150958,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,163590,0.11099343,168442,0.02857136,Con errores
qam_M16_gray_sin_codigo_EbN0_7_dB,M-QAM,16,gray,7,0.199526231496888,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,100679,0.06830923,102470,0.0173811,Con errores
qam_M16_gray_sin_codigo_EbN0_8_dB,M-QAM,16,gray,8,0.15848931924611132,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,55161,0.03742593,55655,0.00944028,Con errores
qam_M16_gray_sin_codigo_EbN0_9_dB,M-QAM,16,gray,9,0.1258925411794167,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,26191,0.01777021,26283,0.00445816,Con errores
qam_M16_gray_sin_codigo_EbN0_10_dB,M-QAM,16,gray,10,0.1,True,False,1.0,False,5895484,5895484,1473871,4.0,1.0,3.753125,0.938281,10561,0.00716548,10574,0.00179358,Con errores
